,Gene stable ID,Transcript stable ID,GO domain,GO term name,GO term accession
311272,ENSG00000124784,ENST00000379834,molecular_function,ATP binding,GO:0005524
311306,ENSG00000166828,ENST00000300061,molecular_function,sodium channel activity,GO:0005272
311348,ENSG00000131368,ENST00000253686,molecular_function,structural constituent of ribosome,GO:0003735
311788,ENSG00000156650,ENST00000648725,molecular_function,DNA binding,GO:0003676
312239,ENSG00000167693,ENST00000575801,molecular_function,oxidoreductase activity,GO:0016491
312281,ENSG00000124772,ENST00000244751,molecular_function,metal ion binding,GO:0046872
312340,ENSG00000180423,ENST00000326737,molecular_function,metal ion binding,GO:0046872
312407,ENSG00000186115,ENST00000221700,molecular_function,heme binding,GO:0020037
312526,ENSG00000052841,ENST00000299240,molecular_function,protein binding,GO:0005515
312576,ENSG00000100417,ENST00000216259,molecular_function,phosphomannomutase activity,GO:0016853
312658,ENSG00000074800,ENST00000234590,molecular_function,magnesium ion binding,GO:0043167
313487,ENSG00000103375,ENST00000566125,molecular_function,channel activity,GO:0015267
313513,ENSG00000164530,ENST00000647861,molecular_function,protein binding,GO:0005515
313532,ENSG00000131355,ENST00000443157,molecular_function,G protein-coupled receptor activity,GO:0038023
313585,ENSG00000100418,ENST00000263256,molecular_function,peptidase activity,GO:0008233
313709,ENSG00000133878,ENST00000256261,molecular_function,phosphatase activity,GO:0016791
313786,ENSG00000130856,ENST00000543926,molecular_function,metal ion binding,GO:0046872
314271,ENSG00000122254,ENST00000261374,molecular_function,sulfotransferase activity,GO:0008146
314329,ENSG00000147465,ENST00000276449,molecular_function,lipid binding,GO:0008289
314453,ENSG00000112186,ENST00000229922,molecular_function,actin binding,GO:0008092
314563,ENSG00000163788,ENST00000454177,molecular_function,ATP binding,GO:0005524
314657,ENSG00000162174,ENST00000415229,molecular_function,hydrolase activity,GO:0016787
314728,ENSG00000058404,ENST00000350811,molecular_function,ATP binding,GO:0005524
315274,ENSG00000133135,ENST00000418562,molecular_function,metal ion binding,GO:0046872
315503,ENSG00000147416,ENST00000276390,molecular_function,ATP binding,GO:0005524
315543,ENSG00000183960,ENST00000328405,molecular_function,voltage-gated potassium channel activity,GO:0005249
315568,ENSG00000101074,ENST00000217043,molecular_function,peptidase inhibitor activity,GO:0030414
316183,ENSG00000135048,ENST00000377044,molecular_function,hydrolase activity,GO:0016787
316422,ENSG00000197006,ENST00000358154,molecular_function,protein binding,GO:0005515
316475,ENSG00000114353,ENST00000422163,molecular_function,GTP binding,GO:0005525
316908,ENSG00000153339,ENST00000283351,molecular_function,protein binding,GO:0005515
317084,ENSG00000160951,ENST00000292513,molecular_function,G protein-coupled receptor activity,GO:0038023
317222,ENSG00000167461,ENST00000300935,molecular_function,GTP binding,GO:0005525
317372,ENSG00000071539,ENST00000166345,molecular_function,ATP binding,GO:0005524
317487,ENSG00000104756,ENST00000221200,molecular_function,protein binding,GO:0005515
317652,ENSG00000158079,ENST00000375360,molecular_function,phosphatase activity,GO:0016791
317848,ENSG00000091157,ENST00000357574,molecular_function,protein binding,GO:0005515
317866,ENSG00000145536,ENST00000511368,molecular_function,metallopeptidase activity,GO:0008237
317885,ENSG00000120925,ENST00000319104,molecular_function,metal ion binding,GO:0046872
317971,ENSG00000100138,ENST00000401959,molecular_function,RNA binding,GO:0003676
318139,ENSG00000137801,ENST00000397591,molecular_function,heparin binding,GO:0008201
318275,ENSG00000111224,ENST00000416739,molecular_function,transferase activity,GO:0016740
318400,ENSG00000130222,ENST00000252506,molecular_function,protein binding,GO:0005515
318459,ENSG00000147394,ENST00000370268,molecular_function,actin filament binding,GO:0051015
318680,ENSG00000100209,ENST00000216027,molecular_function,chaperone binding,GO:0051087
318723,ENSG00000021776,ENST00000156471,molecular_function,helicase activity,GO:0004386
318761,ENSG00000178691,ENST00000322652,molecular_function,protein binding,GO:0005515
318801,ENSG00000153560,ENST00000283629,molecular_function,DNA-binding transcription factor activity,GO:0003700
319088,ENSG00000101197,ENST00000342412,molecular_function,metal ion binding,GO:0046872
319163,ENSG00000124279,ENST00000264669,molecular_function,RNA binding,GO:0003676
319449,ENSG00000183765,ENST00000434810,molecular_function,ATP binding,GO:0005524
320153,ENSG00000136842,ENST00000259365,molecular_function,actin filament binding,GO:0051015
320652,ENSG00000106803,ENST00000223641,molecular_function,RNA binding,GO:0003676
320708,ENSG00000101752,ENST00000261537,molecular_function,zinc ion binding,GO:0008270
320824,ENSG00000134533,ENST00000256953,molecular_function,GTP binding,GO:0005525
321149,ENSG00000172289,ENST00000307552,molecular_function,G protein-coupled receptor activity,GO:0038023
321161,ENSG00000141034,ENST00000268719,molecular_function,ubiquitin protein ligase activity,GO:0061630
321179,ENSG00000136929,ENST00000259456,molecular_function,protein binding,GO:0005515
321351,ENSG00000105135,ENST00000263383,molecular_function,magnesium ion binding,GO:0043167
321410,ENSG00000096063,ENST00000373825,molecular_function,ATP binding,GO:0005524
321539,ENSG00000137843,ENST00000453867,molecular_function,ATP binding,GO:0005524
321787,ENSG00000011295,ENST00000261647,molecular_function,protein binding,GO:0005515
321828,ENSG00000130958,ENST00000253270,molecular_function,UDP-glucuronic acid transmembrane transporter activity,GO:0005461
321978,ENSG00000116254,ENST00000262450,molecular_function,ATP binding,GO:0005524
322596,ENSG00000188818,ENST00000283441,molecular_function,palmitoyltransferase activity,GO:0016409
322871,ENSG00000144674,ENST00000361924,molecular_function,protein binding,GO:0005515
322919,ENSG00000154760,ENST00000285013,molecular_function,metal ion binding,GO:0046872
323057,ENSG00000165682,ENST00000428126,molecular_function,carbohydrate binding,GO:0030246
323217,ENSG00000136874,ENST00000259400,molecular_function,SNAP receptor activity,GO:0005484
323392,ENSG00000145495,ENST00000449913,molecular_function,zinc ion binding,GO:0008270
323506,ENSG00000155495,ENST00000285879,molecular_function,protein binding,GO:0005515
323511,ENSG00000108256,ENST00000225388,molecular_function,RNA binding,GO:0003676
323612,ENSG00000121690,ENST00000241051,molecular_function,molecular_function,GO:0003674
323630,ENSG00000102181,ENST00000346693,molecular_function,protein binding,GO:0005515
323690,ENSG00000159248,ENST00000290374,molecular_function,gap junction channel activity,GO:0005243
323743,ENSG00000049245,ENST00000054666,molecular_function,protein binding,GO:0005515
324309,ENSG00000204624,ENST00000294484,molecular_function,molecular_function,GO:0003674
324321,ENSG00000160961,ENST00000540689,molecular_function,metal ion binding,GO:0046872
324399,ENSG00000130035,ENST00000252318,molecular_function,metal ion binding,GO:0046872
324420,ENSG00000166889,ENST00000300146,molecular_function,RNA binding,GO:0003676
324455,ENSG00000061337,ENST00000381569,molecular_function,microtubule binding,GO:0008017
324537,ENSG00000106638,ENST00000305632,molecular_function,protein binding,GO:0005515
324826,ENSG00000171603,ENST00000377298,molecular_function,calcium ion binding,GO:0005509
325311,ENSG00000109519,ENST00000264954,molecular_function,adenyl-nucleotide exchange factor activity,GO:0000774
325404,ENSG00000141977,ENST00000269878,molecular_function,calcium ion binding,GO:0005509
325431,ENSG00000109667,ENST00000264784,molecular_function,transmembrane transporter activity,GO:0022857
325980,ENSG00000134827,ENST00000257264,molecular_function,cobalamin binding,GO:0031419
326047,ENSG00000163512,ENST00000479665,molecular_function,protein binding,GO:0005515
326302,ENSG00000153395,ENST00000475622,molecular_function,metal ion binding,GO:0046872
326680,ENSG00000152270,ENST00000282096,molecular_function,"3',5'-cyclic-nucleotide phosphodiesterase activity",GO:0016787
326923,ENSG00000108702,ENST00000225842,molecular_function,chemokine activity,GO:0008009
326958,ENSG00000155966,ENST00000370460,molecular_function,RNA binding,GO:0003676
327218,ENSG00000166582,ENST00000299736,molecular_function,carbon-sulfur lyase activity,GO:0016846
327454,ENSG00000145491,ENST00000503804,molecular_function,protein binding,GO:0005515
327522,ENSG00000011105,ENST00000011898,molecular_function,molecular_function,GO:0003674
327544,ENSG00000126524,ENST00000246868,molecular_function,RNA binding,GO:0003676
327600,ENSG00000101203,ENST00000358894,molecular_function,protein binding,GO:0005515
327630,ENSG00000166275,ENST00000339834,molecular_function,protein binding,GO:0005515
327672,ENSG00000113430,ENST00000513692,molecular_function,DNA binding,GO:0003676
328124,ENSG00000127527,ENST00000602022,molecular_function,metal ion binding,GO:0046872
328252,ENSG00000133665,ENST00000372199,molecular_function,protein binding,GO:0005515
328436,ENSG00000089723,ENST00000203664,molecular_function,hydrolase activity,GO:0016787
329054,ENSG00000177674,ENST00000376637,molecular_function,protein binding,GO:0005515
329176,ENSG00000149516,ENST00000395032,molecular_function,protein binding,GO:0005515
329279,ENSG00000139209,ENST00000447411,molecular_function,symporter activity,GO:0015293
329386,ENSG00000126062,ENST00000266025,molecular_function,protein binding,GO:0005515
329408,ENSG00000136938,ENST00000339399,molecular_function,protein binding,GO:0005515
329472,ENSG00000104219,ENST00000262096,molecular_function,palmitoyltransferase activity,GO:0016409
329793,ENSG00000151445,ENST00000343765,molecular_function,protein binding,GO:0005515
329930,ENSG00000139160,ENST00000412352,molecular_function,transferase activity,GO:0016740
330104,ENSG00000114349,ENST00000232461,molecular_function,GTP binding,GO:0005525
330405,ENSG00000146670,ENST00000275517,molecular_function,protein binding,GO:0005515
330471,ENSG00000151743,ENST00000281471,molecular_function,protein binding,GO:0005515
330493,ENSG00000162572,ENST00000379116,molecular_function,sodium channel activity,GO:0005272
330591,ENSG00000075213,ENST00000265362,molecular_function,protein binding,GO:0005515
330766,ENSG00000099889,ENST00000263207,molecular_function,protein binding,GO:0005515
330830,ENSG00000075914,ENST00000265564,molecular_function,RNA binding,GO:0003676
330874,ENSG00000003987,ENST00000180173,molecular_function,phosphatase activity,GO:0016791
330978,ENSG00000165030,ENST00000297689,molecular_function,DNA-binding transcription factor activity,GO:0003700
331368,ENSG00000108242,ENST00000285979,molecular_function,heme binding,GO:0020037
331585,ENSG00000101210,ENST00000675519,molecular_function,GTPase activity,GO:0016787
331650,ENSG00000169154,ENST00000307599,molecular_function,catalytic activity,GO:0003824
331676,ENSG00000114378,ENST00000395144,molecular_function,catalytic activity,GO:0003824
332018,ENSG00000128829,ENST00000559624,molecular_function,ATP binding,GO:0005524
332167,ENSG00000148948,ENST00000278198,molecular_function,protein binding,GO:0005515
332255,ENSG00000120057,ENST00000266066,molecular_function,protein binding,GO:0005515
332429,ENSG00000198889,ENST00000371126,molecular_function,protein binding,GO:0005515
332440,ENSG00000107864,ENST00000412050,molecular_function,nucleic acid binding,GO:0003676
332633,ENSG00000168300,ENST00000360540,molecular_function,protein-L-isoaspartate (D-aspartate) O-methyltransferase activity,GO:0016740
332849,ENSG00000101213,ENST00000542869,molecular_function,ATP binding,GO:0005524
332949,ENSG00000171608,ENST00000377346,molecular_function,kinase activity,GO:0016301
333068,ENSG00000095209,ENST00000434214,molecular_function,cation channel activity,GO:0005261
333200,ENSG00000197837,ENST00000358064,molecular_function,RNA binding,GO:0003676
333296,ENSG00000138190,ENST00000671701,molecular_function,protein binding,GO:0005515
333980,ENSG00000145506,ENST00000296849,molecular_function,calcium ion binding,GO:0005509
334075,ENSG00000146122,ENST00000633794,molecular_function,actin binding,GO:0008092
334223,ENSG00000166206,ENST00000311550,molecular_function,GABA-A receptor activity,GO:0038023
334841,ENSG00000131668,ENST00000253968,molecular_function,DNA binding,GO:0003676
334873,ENSG00000011347,ENST00000263846,molecular_function,calcium-dependent phospholipid binding,GO:0005544
335372,ENSG00000134028,ENST00000256412,molecular_function,metallopeptidase activity,GO:0008237
335526,ENSG00000136273,ENST00000258774,molecular_function,protein binding,GO:0005515
336337,ENSG00000087302,ENST00000261700,molecular_function,RNA binding,GO:0003676
336518,ENSG00000072954,ENST00000187762,molecular_function,cation channel activity,GO:0005261
336628,ENSG00000183696,ENST00000416681,molecular_function,catalytic activity,GO:0003824
336755,ENSG00000114388,ENST00000232501,molecular_function,GTPase activator activity,GO:0003824
336789,ENSG00000148795,ENST00000638971,molecular_function,heme binding,GO:0020037
336858,ENSG00000146085,ENST00000274813,molecular_function,metal ion binding,GO:0046872
336894,ENSG00000130300,ENST00000252590,molecular_function,protein binding,GO:0005515
336928,ENSG00000103550,ENST00000219837,molecular_function,RNA binding,GO:0003676
336942,ENSG00000155959,ENST00000535916,molecular_function,protein binding,GO:0005515
337310,ENSG00000058600,ENST00000299853,molecular_function,DNA-directed 5'-3' RNA polymerase activity,GO:0016740
337393,ENSG00000171729,ENST00000376014,molecular_function,protein binding,GO:0005515
337490,ENSG00000088356,ENST00000202017,molecular_function,unfolded protein binding,GO:0051082
337512,ENSG00000065613,ENST00000369755,molecular_function,ATP binding,GO:0005524
337630,ENSG00000101331,ENST00000452892,molecular_function,molecular_function,GO:0003674
337659,ENSG00000099899,ENST00000252136,molecular_function,nucleic acid binding,GO:0003676
337741,ENSG00000107242,ENST00000265382,molecular_function,phosphatidylinositol phosphate kinase activity,GO:0016307
337827,ENSG00000134146,ENST00000256538,molecular_function,nucleotide binding,GO:0000166
337866,ENSG00000149021,ENST00000534397,molecular_function,phospholipase A2 inhibitor activity,GO:0019834
337906,ENSG00000123496,ENST00000371936,molecular_function,protein binding,GO:0005515
337973,ENSG00000119614,ENST00000261980,molecular_function,DNA binding,GO:0003676
338067,ENSG00000162571,ENST00000379290,molecular_function,nucleotide binding,GO:0000166
338548,ENSG00000151320,ENST00000280979,molecular_function,protein binding,GO:0005515
338649,ENSG00000126861,ENST00000247271,molecular_function,protein binding,GO:0005515
338878,ENSG00000106605,ENST00000265523,molecular_function,zinc ion binding,GO:0008270
338976,ENSG00000067177,ENST00000373542,molecular_function,calmodulin binding,GO:0005516
339128,ENSG00000144566,ENST00000273047,molecular_function,GTP binding,GO:0005525
339303,ENSG00000134758,ENST00000261593,molecular_function,metal ion binding,GO:0046872
339360,ENSG00000065308,ENST00000182527,molecular_function,protein binding,GO:0005515
339369,ENSG00000126003,ENST00000246229,molecular_function,metal ion binding,GO:0046872
339649,ENSG00000064490,ENST00000303088,molecular_function,protein binding,GO:0005515
339712,ENSG00000101346,ENST00000375749,molecular_function,fucosyltransferase activity,GO:0008417
339843,ENSG00000112079,ENST00000229812,molecular_function,ATP binding,GO:0005524
339935,ENSG00000163993,ENST00000296370,molecular_function,calcium ion binding,GO:0005509
340066,ENSG00000159423,ENST00000290597,molecular_function,oxidoreductase activity,GO:0016491
340163,ENSG00000141434,ENST00000581447,molecular_function,zinc ion binding,GO:0008270
340433,ENSG00000139874,ENST00000267377,molecular_function,G protein-coupled receptor activity,GO:0038023
340502,ENSG00000166068,ENST00000299084,molecular_function,protein binding,GO:0005515
340731,ENSG00000164822,ENST00000297436,molecular_function,protein homodimerization activity,GO:0042803
340748,ENSG00000088305,ENST00000328111,molecular_function,methyltransferase activity,GO:0008168
340960,ENSG00000152953,ENST00000282908,molecular_function,ATP binding,GO:0005524
341007,ENSG00000104671,ENST00000221114,molecular_function,dynein complex binding,GO:0070840
341022,ENSG00000159337,ENST00000290472,molecular_function,calcium ion binding,GO:0005509
341055,ENSG00000133398,ENST00000255764,molecular_function,transcription coregulator activity,GO:0003712
341362,ENSG00000164237,ENST00000296658,molecular_function,hydrolase activity,GO:0016787
341541,ENSG00000157259,ENST00000287957,molecular_function,zinc ion binding,GO:0008270
341565,ENSG00000140323,ENST00000267889,molecular_function,molecular_function,GO:0003674
341605,ENSG00000285269,ENST00000643789,molecular_function,UDP-glucuronic acid transmembrane transporter activity,GO:0005461
341705,ENSG00000164647,ENST00000297205,molecular_function,metal ion binding,GO:0046872
341736,ENSG00000064102,ENST00000261191,molecular_function,protein binding,GO:0005515
341809,ENSG00000188647,ENST00000377200,molecular_function,protein prenyltransferase activity,GO:0008318
341905,ENSG00000142599,ENST00000337907,molecular_function,zinc ion binding,GO:0008270
342021,ENSG00000124275,ENST00000513439,molecular_function,FMN binding,GO:0010181
342398,ENSG00000100084,ENST00000340170,molecular_function,protein binding,GO:0005515
342633,ENSG00000151552,ENST00000281243,molecular_function,oxidoreductase activity,GO:0016491
342769,ENSG00000168334,ENST00000396251,molecular_function,actin binding,GO:0008092
342799,ENSG00000167778,ENST00000301463,molecular_function,protein binding,GO:0005515
343017,ENSG00000153443,ENST00000590891,molecular_function,protein binding,GO:0005515
343372,ENSG00000127415,ENST00000247933,molecular_function,"hydrolase activity, hydrolyzing O-glycosyl compounds",GO:0016787
343433,ENSG00000127586,ENST00000262315,molecular_function,ATP binding,GO:0005524
343544,ENSG00000119707,ENST00000261973,molecular_function,nucleic acid binding,GO:0003676
344234,ENSG00000168078,ENST00000301905,molecular_function,ATP binding,GO:0005524
344285,ENSG00000141314,ENST00000431505,molecular_function,calcium ion binding,GO:0005509
344396,ENSG00000156689,ENST00000287275,molecular_function,glycine N-acyltransferase activity,GO:0047961
344422,ENSG00000128191,ENST00000383024,molecular_function,protein binding,GO:0005515
344596,ENSG00000137392,ENST00000259938,molecular_function,enzyme activator activity,GO:0008047
344804,ENSG00000129173,ENST00000527884,molecular_function,DNA-binding transcription factor activity,GO:0003700
345286,ENSG00000170891,ENST00000307746,molecular_function,signaling receptor binding,GO:0005102
345355,ENSG00000160746,ENST00000292246,molecular_function,intracellular calcium activated chloride channel activity,GO:0005229
345444,ENSG00000070010,ENST00000263202,molecular_function,protein binding,GO:0005515
345920,ENSG00000172575,ENST00000310803,molecular_function,guanyl-nucleotide exchange factor activity,GO:0003824
346290,ENSG00000164626,ENST00000359534,molecular_function,potassium channel activity,GO:0005267
346347,ENSG00000146221,ENST00000371505,molecular_function,protein binding,GO:0005515
346816,ENSG00000101000,ENST00000216968,molecular_function,signaling receptor activity,GO:0038023
346872,ENSG00000135447,ENST00000547431,molecular_function,protein phosphatase inhibitor activity,GO:0004864
346911,ENSG00000141127,ENST00000441887,molecular_function,magnesium ion binding,GO:0043167
347340,ENSG00000197969,ENST00000376636,molecular_function,protein binding,GO:0005515
347479,ENSG00000125966,ENST00000246186,molecular_function,zinc ion binding,GO:0008270
347633,ENSG00000139173,ENST00000266534,molecular_function,molecular_function,GO:0003674
347659,ENSG00000105641,ENST00000222248,molecular_function,transmembrane transporter activity,GO:0022857
347828,ENSG00000125998,ENST00000374408,molecular_function,protein binding,GO:0005515
347853,ENSG00000133958,ENST00000256339,molecular_function,protein binding,GO:0005515
348175,ENSG00000074855,ENST00000159087,molecular_function,intracellular calcium activated chloride channel activity,GO:0005229
348223,ENSG00000118705,ENST00000373622,molecular_function,protein binding,GO:0005515
348305,ENSG00000170540,ENST00000304414,molecular_function,protein binding,GO:0005515
348392,ENSG00000147246,ENST00000371951,molecular_function,G protein-coupled receptor activity,GO:0038023
348548,ENSG00000124813,ENST00000647337,molecular_function,DNA binding,GO:0003676
348790,ENSG00000151229,ENST00000280871,molecular_function,transmembrane transporter activity,GO:0022857
348940,ENSG00000055955,ENST00000266041,molecular_function,serine-type endopeptidase inhibitor activity,GO:0003824
349054,ENSG00000196072,ENST00000441611,molecular_function,protein binding,GO:0005515
349156,ENSG00000105058,ENST00000589852,molecular_function,RNA binding,GO:0003676
349178,ENSG00000077238,ENST00000566117,molecular_function,protein binding,GO:0005515
349941,ENSG00000161896,ENST00000293756,molecular_function,kinase activity,GO:0016301
350416,ENSG00000120053,ENST00000370508,molecular_function,catalytic activity,GO:0003824
350493,ENSG00000149636,ENST00000448110,molecular_function,protein binding,GO:0005515
350624,ENSG00000105829,ENST00000222547,molecular_function,protein binding,GO:0005515
350668,ENSG00000111704,ENST00000541267,molecular_function,DNA binding,GO:0003676
350746,ENSG00000112624,ENST00000314073,molecular_function,protein binding,GO:0005515
350799,ENSG00000080603,ENST00000262518,molecular_function,DNA binding,GO:0003676
350844,ENSG00000111371,ENST00000398637,molecular_function,symporter activity,GO:0015293
351119,ENSG00000116213,ENST00000378322,molecular_function,protein binding,GO:0005515
351290,ENSG00000124678,ENST00000373979,molecular_function,protein binding,GO:0005515
351564,ENSG00000148950,ENST00000532287,molecular_function,serine-type peptidase activity,GO:0008236
351906,ENSG00000187581,ENST00000342144,molecular_function,cytochrome-c oxidase activity,GO:0004129
351945,ENSG00000100811,ENST00000262238,molecular_function,metal ion binding,GO:0046872
352025,ENSG00000057149,ENST00000283752,molecular_function,serine-type endopeptidase inhibitor activity,GO:0003824
352128,ENSG00000147437,ENST00000421054,molecular_function,hormone activity,GO:0005179
352245,ENSG00000134812,ENST00000257248,molecular_function,cobalamin binding,GO:0031419
352282,ENSG00000145569,ENST00000274217,molecular_function,protein binding,GO:0005515
352361,ENSG00000186010,ENST00000507754,molecular_function,ATP binding,GO:0005524
352692,ENSG00000124939,ENST00000244930,molecular_function,protein binding,GO:0005515
352709,ENSG00000113569,ENST00000231498,molecular_function,structural constituent of nuclear pore,GO:0017056
352809,ENSG00000130287,ENST00000252575,molecular_function,calcium ion binding,GO:0005509
352889,ENSG00000141431,ENST00000681521,molecular_function,DNA binding,GO:0003676
353016,ENSG00000128917,ENST00000249749,molecular_function,calcium ion binding,GO:0005509
353081,ENSG00000130584,ENST00000245663,molecular_function,protein binding,GO:0005515
353118,ENSG00000089737,ENST00000621632,molecular_function,ATP binding,GO:0005524
353173,ENSG00000105705,ENST00000589144,molecular_function,RNA binding,GO:0003676
353287,ENSG00000055957,ENST00000273283,molecular_function,serine-type endopeptidase inhibitor activity,GO:0003824
353345,ENSG00000107742,ENST00000373109,molecular_function,protein binding,GO:0005515
353517,ENSG00000197302,ENST00000316491,molecular_function,protein binding,GO:0005515
354252,ENSG00000168675,ENST00000679177,molecular_function,R-SMAD binding,GO:0070412
354976,ENSG00000040608,ENST00000416372,molecular_function,protein binding,GO:0005515
355088,ENSG00000013364,ENST00000357402,molecular_function,protein binding,GO:0005515
355151,ENSG00000128185,ENST00000248879,molecular_function,protein binding,GO:0005515
356149,ENSG00000079974,ENST00000435118,molecular_function,GTP binding,GO:0005525
356410,ENSG00000164715,ENST00000297293,molecular_function,ATP binding,GO:0005524
356554,ENSG00000109684,ENST00000226951,molecular_function,protein binding,GO:0005515
356781,ENSG00000159251,ENST00000290378,molecular_function,nucleotide binding,GO:0000166
357031,ENSG00000164236,ENST00000296657,molecular_function,protein binding,GO:0005515
357052,ENSG00000101311,ENST00000217289,molecular_function,integrin binding,GO:0005178
357085,ENSG00000023318,ENST00000262455,molecular_function,protein binding,GO:0005515
357102,ENSG00000129315,ENST00000261900,molecular_function,cyclin-dependent protein serine/threonine kinase regulator activity,GO:0016538
357622,ENSG00000105750,ENST00000328178,molecular_function,metal ion binding,GO:0046872
357979,ENSG00000091651,ENST00000219097,molecular_function,DNA binding,GO:0003676
358055,ENSG00000199051,ENST00000362181,molecular_function,mRNA binding involved in posttranscriptional gene silencing,GO:1903231
358628,ENSG00000199168,ENST00000362298,molecular_function,mRNA binding involved in posttranscriptional gene silencing,GO:1903231
358660,ENSG00000124194,ENST00000617075,molecular_function,protein binding,GO:0005515
359059,ENSG00000207818,ENST00000385083,molecular_function,mRNA binding involved in posttranscriptional gene silencing,GO:1903231
359098,ENSG00000030110,ENST00000374467,molecular_function,metal ion binding,GO:0046872
359284,ENSG00000087266,ENST00000503393,molecular_function,SH3 domain binding,GO:0017124
359444,ENSG00000008056,ENST00000295987,molecular_function,ATP binding,GO:0005524
359533,ENSG00000171954,ENST00000269703,molecular_function,heme binding,GO:0020037
359573,ENSG00000112309,ENST00000230053,molecular_function,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity,GO:0015018
359799,ENSG00000196663,ENST00000359520,molecular_function,protein binding,GO:0005515
359938,ENSG00000126767,ENST00000247161,molecular_function,DNA-binding transcription factor activity,GO:0003700
360339,ENSG00000134014,ENST00000520270,molecular_function,metal ion binding,GO:0046872
360524,ENSG00000122547,ENST00000242108,molecular_function,DNA binding,GO:0003676
360543,ENSG00000130307,ENST00000252597,molecular_function,protein binding,GO:0005515
360562,ENSG00000213390,ENST00000358531,molecular_function,GTPase activator activity,GO:0003824
360656,ENSG00000136944,ENST00000526117,molecular_function,DNA binding,GO:0003676
360738,ENSG00000197122,ENST00000373578,molecular_function,ATP binding,GO:0005524
361814,ENSG00000100764,ENST00000261303,molecular_function,ATP binding,GO:0005524
361933,ENSG00000101150,ENST00000369927,molecular_function,RNA binding,GO:0003676
362040,ENSG00000102265,ENST00000456754,molecular_function,protein binding,GO:0005515
362144,ENSG00000166171,ENST00000370151,molecular_function,protein binding,GO:0005515
362160,ENSG00000095380,ENST00000210444,molecular_function,catalytic activity,GO:0003824
362224,ENSG00000136848,ENST00000394340,molecular_function,GTPase activator activity,GO:0003824
362698,ENSG00000147130,ENST00000314425,molecular_function,zinc ion binding,GO:0008270
362736,ENSG00000125384,ENST00000557436,molecular_function,prostaglandin E receptor activity,GO:0038023
362761,ENSG00000158748,ENST00000289753,molecular_function,G protein-coupled receptor activity,GO:0038023
363049,ENSG00000166169,ENST00000370168,molecular_function,DNA binding,GO:0003676
363359,ENSG00000159433,ENST00000290607,molecular_function,ATP binding,GO:0005524
363621,ENSG00000113492,ENST00000231420,molecular_function,catalytic activity,GO:0003824
364112,ENSG00000105726,ENST00000291503,molecular_function,nucleotide binding,GO:0000166
364186,ENSG00000162444,ENST00000315901,molecular_function,lipid binding,GO:0008289
364329,ENSG00000122507,ENST00000672717,molecular_function,molecular_function,GO:0003674
364543,ENSG00000180758,ENST00000377411,molecular_function,G protein-coupled receptor activity,GO:0038023
364566,ENSG00000101251,ENST00000284951,molecular_function,protein binding,GO:0005515
365300,ENSG00000114383,ENST00000232496,molecular_function,protein binding,GO:0005515
365347,ENSG00000092531,ENST00000249647,molecular_function,protein binding,GO:0005515
365564,ENSG00000125991,ENST00000348547,molecular_function,protein binding,GO:0005515
365651,ENSG00000132879,ENST00000251546,molecular_function,protein binding,GO:0005515
365741,ENSG00000110107,ENST00000227524,molecular_function,protein binding,GO:0005515
365841,ENSG00000104611,ENST00000265807,molecular_function,protein binding,GO:0005515
366272,ENSG00000123094,ENST00000381352,molecular_function,protein binding,GO:0005515
366291,ENSG00000013288,ENST00000285599,molecular_function,catalytic activity,GO:0003824
366782,ENSG00000120889,ENST00000276431,molecular_function,protein binding,GO:0005515
366854,ENSG00000105717,ENST00000557978,molecular_function,DNA-binding transcription factor activity,GO:0003700
367005,ENSG00000134294,ENST00000256689,molecular_function,symporter activity,GO:0015293
367249,ENSG00000146166,ENST00000485906,molecular_function,glutamate-ammonia ligase activity,GO:0016874
367274,ENSG00000116731,ENST00000484063,molecular_function,protein binding,GO:0005515
367432,ENSG00000073146,ENST00000545383,molecular_function,helicase activity,GO:0004386
367631,ENSG00000198018,ENST00000370489,molecular_function,hydrolase activity,GO:0016787
367671,ENSG00000175216,ENST00000529230,molecular_function,protein binding,GO:0005515
368424,ENSG00000158901,ENST00000357199,molecular_function,serine-type endopeptidase inhibitor activity,GO:0003824
368692,ENSG00000131697,ENST00000489180,molecular_function,protein binding,GO:0005515
368816,ENSG00000132671,ENST00000255008,molecular_function,G protein-coupled receptor activity,GO:0038023
368844,ENSG00000155330,ENST00000394806,molecular_function,protein binding,GO:0005515
368970,ENSG00000140299,ENST00000607373,molecular_function,calcium ion binding,GO:0005509
369080,ENSG00000186810,ENST00000373691,molecular_function,C-X-C chemokine receptor activity,GO:0016494
369250,ENSG00000182836,ENST00000377801,molecular_function,phosphoric diester hydrolase activity,GO:0008081
369521,ENSG00000163812,ENST00000339420,molecular_function,palmitoyltransferase activity,GO:0016409
369625,ENSG00000101464,ENST00000217446,molecular_function,protein binding,GO:0005515
369679,ENSG00000168939,ENST00000302805,molecular_function,protein binding,GO:0005515
369771,ENSG00000124333,ENST00000286448,molecular_function,SNAP receptor activity,GO:0005484
369983,ENSG00000130475,ENST00000594202,molecular_function,protein binding,GO:0005515
370139,ENSG00000095627,ENST00000251864,molecular_function,metal ion binding,GO:0046872
370294,ENSG00000138613,ENST00000261879,molecular_function,protein binding,GO:0005515
370379,ENSG00000101335,ENST00000346786,molecular_function,calcium ion binding,GO:0005509
