,Gene stable ID,Transcript stable ID,GO domain,GO term name,GO term accession
1415740,ENSG00000168026,ENST00000431162,molecular_function,protein binding,GO:0005515
1415778,ENSG00000108829,ENST00000225972,molecular_function,protein binding,GO:0005515
1415801,ENSG00000108823,ENST00000513821,molecular_function,calcium ion binding,GO:0005509
1415852,ENSG00000133816,ENST00000532179,molecular_function,actin binding,GO:0008092
1416012,ENSG00000168314,ENST00000428261,molecular_function,protein binding,GO:0005515
1416234,ENSG00000163539,ENST00000480013,molecular_function,protein binding,GO:0005515
1416591,ENSG00000167346,ENST00000380390,molecular_function,zinc ion binding,GO:0008270
1416623,ENSG00000186174,ENST00000334801,molecular_function,transcription coactivator activity,GO:0003712
1416692,ENSG00000166926,ENST00000300182,molecular_function,protein binding,GO:0005515
1416832,ENSG00000126500,ENST00000246841,molecular_function,protein binding,GO:0005515
1416837,ENSG00000058668,ENST00000357681,molecular_function,ATP binding,GO:0005524
1417118,ENSG00000150433,ENST00000531909,molecular_function,protein binding,GO:0005515
1417186,ENSG00000146872,ENST00000582809,molecular_function,ATP binding,GO:0005524
1417388,ENSG00000163875,ENST00000373075,molecular_function,protein binding,GO:0005515
1417761,ENSG00000115474,ENST00000233826,molecular_function,inward rectifier potassium channel activity,GO:0005242
1417890,ENSG00000182600,ENST00000409533,molecular_function,protein binding,GO:0005515
1417918,ENSG00000066248,ENST00000264051,molecular_function,protein binding,GO:0005515
1417984,ENSG00000136059,ENST00000283713,molecular_function,actin filament binding,GO:0051015
1418136,ENSG00000115488,ENST00000233840,molecular_function,exo-alpha-sialidase activity,GO:0016787
1418168,ENSG00000011405,ENST00000265970,molecular_function,kinase activity,GO:0016301
1418487,ENSG00000138435,ENST00000348749,molecular_function,ion channel activity,GO:0005216
1418703,ENSG00000136463,ENST00000258975,molecular_function,protein binding,GO:0005515
1418767,ENSG00000004939,ENST00000399246,molecular_function,inorganic anion exchanger activity,GO:0005452
1418858,ENSG00000162980,ENST00000446896,molecular_function,nucleotide binding,GO:0000166
1419483,ENSG00000129071,ENST00000429544,molecular_function,DNA binding,GO:0003676
1419650,ENSG00000115904,ENST00000402219,molecular_function,DNA binding,GO:0003676
1419724,ENSG00000163913,ENST00000440957,molecular_function,protein binding,GO:0005515
1420038,ENSG00000030582,ENST00000053867,molecular_function,RNA binding,GO:0003676
1420494,ENSG00000163914,ENST00000296271,molecular_function,G protein-coupled receptor activity,GO:0038023
1420562,ENSG00000005961,ENST00000262407,molecular_function,metal ion binding,GO:0046872
1420709,ENSG00000135913,ENST00000258399,molecular_function,thiol-dependent ubiquitin-specific protease activity,GO:0016787
1421216,ENSG00000144580,ENST00000627282,molecular_function,protein binding,GO:0005515
1421332,ENSG00000088727,ENST00000684063,molecular_function,ATP binding,GO:0005524
1422010,ENSG00000138271,ENST00000260843,molecular_function,G protein-coupled purinergic nucleotide receptor activity,GO:0045028
